Datetime,Tweet Id,Username,Location,Language,Hashtags,Text
2023-04-11 21:01:49+00:00,1645894947793694721,kinimaroe,,in,,b'@gadismungil__ Kamu tu emang hobinya seks bebas aja'
2023-04-11 18:04:01+00:00,1645850203323531264,zeeravb,,in,,"b'@noonanyajisung @divinenights @KzizC @viviznants @sosmedkeras Dia ngetwit ""harusnya kalian sedih"" seakan kita hrs sedih simpatik sma s ag tukang fitnah ewh. padhal bnyak fact in&amp;ek AWAL remaja lakukan seksbebas g selalu diawali dgn grooming loh, telusuri orang pertama yg ngewe dgn ag krn itu jg plaku &amp; fact lain knp ag terjerumus seksbebas.'"
2023-04-11 17:35:38+00:00,1645843058939035648,NotYourBaeYaa,,in,,"b'@JinnieJinnie8 @tanyakanrl Tetanggaku lulus SD nikah karena hamil wkwk, kira-kira usia 12/13th lah.\nJadi ga heran si kalo 15th udah seks bebas.'"
2023-04-11 16:47:02+00:00,1645830828486983685,risaseptia219,,in,,b'@sosmedkeras Ga kaget lagi diusia Agnes dan Dandy yang udah 5 kali seks bebas.'
2023-04-11 16:31:21+00:00,1645826880791277570,RiauNewsCom,Pekanbaru,in,,b'Kasus Mario Dandy Bermula dari Gaya Pacaran Kebablasan dan Praktik Seks Bebas - Riaunews https://t.co/OKc3AC9WXi'
2023-04-11 16:08:18+00:00,1645821081138393091,KucingnyaHitIer,,in,,"b'@ubsansfess Iya. Itu penyakit. Gapapa nder, cari kesibukan aja biar lupa. Sama inget, kalau kelakuan seks bebas kauman itu ganjarannya langsung HIV/AIDS \xf0\x9f\x97\xbf \n\nSemoga Tuhan selalu merahmatimu dengan hidayah-Nya.'"
2023-04-11 15:25:32+00:00,1645810319166685184,Evilinside88,,in,,"b'@txtdarisukabumi Agama udah paling bener dah, cewe itu balighnya usia 9  s/d 12 tahun. artinya udah memiliki syahwat dan boleh nikah, tapi negara malah tuain usia pernikahan. ditambah arus informasi dan conten2 berbau seksualitas semakin menjamur. makanya gak heran seks bebas semakin merajalela.'"
2023-04-11 14:57:23+00:00,1645803235331174403,HaziqWahyu,Nomaden ,in,,b'@atm0stphere @sancinnabon Iya sih. Bagusan seks bebas aja.\xf0\x9f\x91\x8d'
2023-04-11 14:45:14+00:00,1645800177075363843,ariomalv,semarang,in,,"b'@kozirama dulu ada aktor yang kayanya kekerasan seks atau pedo bebas malah masuk TV berhari hari, bagusnya ngga lama ilang sampai sekarang'"
2023-04-11 14:11:19+00:00,1645791643935854593,CiciNurrahmah,"Kota Banda Aceh, Nangro Aceh D",in,,"b'@AyuDamarwati_77 @ceezcakee @slutforkaiser @AREAJULID Gk fokus nyalahin sih\nCuma objektif aja, gk bsa ttup mata juga kan klau trnyata klakuan mreka brtiga sama aja \xe2\x80\x9cseks bebas\xe2\x80\x9d\nToh juga gk ada untung rugi klau berat sebelah kan'"
